Price,Area,Price per sqm,log_Price,log_Area,Manhattan_distance,Zip region,Zip num,District_v1,District_v2
385000.0,49,7857.142857142857,12.86099861326992,3.8918202981106265,0.05154416238744819,0,1094,Oost,the rest
930000.0,123,7560.975609756098,13.742939865129438,4.812184355372417,0.029114501874704324,0,1079,Zuid,Centrum + Zuid
500000.0,70,7142.857142857143,13.122363377404328,4.248495242049359,0.038423498125294664,0,1051,West,the rest
400000.0,107,3738.3177570093458,12.89921982609012,4.672828834461906,0.10797749812529656,0,1067,Nieuw-West,the rest
475000.0,98,4846.938775510204,13.071070083016778,4.584967478670572,0.06742349812529635,0,1061,Nieuw-West,the rest
350000.0,50,7000.0,12.765688433465597,3.912023005428146,0.04273349812529492,0,1057,West,the rest
450000.0,96,4687.5,13.017002861746503,4.564348191467836,0.11054050187470388,0,1087,Oost,the rest
1275000.0,165,7727.272727272727,14.058456736574664,5.10594547390058,0.011144498125292834,0,1016,Centrum,Centrum + Zuid
550000.0,66,8333.333333333334,13.217673557208654,4.189654742026425,0.006234501874705423,0,1017,Centrum,Centrum + Zuid
1200000.0,105,11428.57142857143,13.997832114758229,4.653960350157523,0.02038349812529283,0,1015,Centrum,Centrum + Zuid
799000.0,146,5472.602739726028,13.591116224748411,4.983606621708336,0.05016883761255553,0,1076,Zuid,Centrum + Zuid
950000.0,226,4203.539823008849,13.764217263576723,5.420534999272286,0.12696683761255212,0,1069,Nieuw-West,the rest
4900000.0,623,7865.168539325843,15.404745763080856,6.434546518787453,0.010041498125298531,0,1016,Centrum,Centrum + Zuid
425000.0,71,5985.915492957746,12.959844447906553,4.2626798770413155,0.05109649812529593,0,1055,West,the rest
790000.0,90,8777.777777777777,13.579788224443204,4.499809670330265,0.019985498125298484,0,1015,Centrum,Centrum + Zuid
265000.0,58,4568.9655172413795,12.487485104968359,4.060443010546419,0.09339350187470252,1,1102,Zuid-Oost,Zuid-Oost
575000.0,183,3142.0765027322404,13.262125319779487,5.209486152841421,0.06518949812529584,0,1033,Noord,the rest
350000.0,58,6034.482758620689,12.765688433465597,4.060443010546419,0.06248449812529877,0,1061,Nieuw-West,the rest
280000.0,82,3414.6341463414633,12.542544882151386,4.406719247264253,0.14967950187470613,1,1107,Zuid-Oost,Zuid-Oost
415000.0,61,6803.2786885245905,12.936033799212835,4.110873864173311,0.028531501874704546,0,1091,Oost,the rest
325000.0,55,5909.090909090909,12.691580461311874,4.007333185232471,0.058170837612550486,0,1081,Zuid,Centrum + Zuid
350000.0,87,4022.9885057471265,12.765688433465597,4.465908118654584,0.106564498125298,0,1067,Nieuw-West,the rest
1695000.0,117,14487.179487179486,14.343193298796688,4.762173934797756,0.01734383761255387,0,1071,Zuid,Centrum + Zuid
425000.0,74,5743.243243243243,12.959844447906553,4.30406509320417,0.034201498125296936,0,1051,West,the rest
735000.0,83,8855.421686746988,13.507625778194974,4.418840607796598,0.046682837612554984,0,1076,Zuid,Centrum + Zuid
230000.0,28,8214.285714285714,12.345834587905333,3.332204510175204,0.055045501874701586,0,1096,Oost,the rest
590000.0,76,7763.1578947368425,13.287877815881902,4.330733340286331,0.0568774981252993,0,1055,West,the rest
995000.0,146,6815.068493150685,13.81049801614073,4.983606621708336,0.007901162387450533,0,1017,Centrum,Centrum + Zuid
400000.0,59,6779.661016949152,12.89921982609012,4.07753744390572,0.03421949812529412,0,1051,West,the rest
469000.0,67,7000.0,13.058358047428417,4.204692619390966,0.0268744981252933,0,1015,Centrum,Centrum + Zuid
300000.0,54,5555.555555555556,12.611537753638338,3.9889840465642745,0.06421049812529578,0,1055,West,the rest
475000.0,60,7916.666666666667,13.071070083016778,4.0943445622221,0.02888749812529312,0,1053,West,the rest
275000.0,64,4296.875,12.524526376648708,4.1588830833596715,0.08844416238744923,0,1024,Noord,the rest
1450000.0,124,11693.548387096775,14.187074114396758,4.820281565605037,0.008661501874704491,0,1017,Centrum,Centrum + Zuid
375000.0,78,4807.692307692308,12.834681304952548,4.356708826689592,0.09433149812529695,0,1063,Nieuw-West,the rest
1650000.0,232,7112.068965517241,14.316285845876763,5.44673737166631,0.010212837612549208,0,1072,Zuid,Centrum + Zuid
550000.0,137,4014.598540145985,13.217673557208654,4.919980925828125,0.11596683761255377,0,1060,Nieuw-West,the rest
1025000.0,125,8200.0,13.840203170554645,4.8283137373023015,0.032659837612550646,0,1054,West,the rest
400000.0,79,5063.291139240507,12.89921982609012,4.3694478524670215,0.13027550187470727,0,1087,Oost,the rest
1625000.0,257,6322.95719844358,14.301018373745976,5.54907608489522,0.03401883761255409,0,1077,Zuid,Centrum + Zuid
985000.0,111,8873.873873873874,13.800396920154226,4.709530201312334,0.0093561623874443,0,1012,Centrum,Centrum + Zuid
325000.0,84,3869.0476190476193,12.691580461311874,4.430816798843313,0.0397808376125548,0,1082,Zuid,Centrum + Zuid
360000.0,42,8571.42857142857,12.793859310432293,3.7376696182833684,0.04319083761254916,0,1076,Zuid,Centrum + Zuid
595000.0,78,7628.205128205128,13.296316684527767,4.356708826689592,0.02133616238745084,0,1013,West,the rest
375000.0,47,7978.723404255319,12.834681304952548,3.8501476017100584,0.016290162387446294,0,1012,Centrum,Centrum + Zuid
175000.0,28,6250.0,12.072541252905651,3.332204510175204,0.09610416238744879,0,1025,Noord,the rest
1700000.0,194,8762.886597938144,14.346138809026444,5.267858159063328,0.008733501874704785,0,1017,Centrum,Centrum + Zuid
430000.0,58,7413.793103448276,12.971540487669746,4.060443010546419,0.05007883761255627,0,1058,Zuid,Centrum + Zuid
